vendor,name,spec,price,image_url,category,검색_쿼리,추정_인터넷총가,표본수,상태,최저가_링크,군마트가격(원),군마트_추출용량(g/ml),할인율(%)
대상(주),(영외)순창 조개멸치찌개된장(450g),450g,"3,660원",https://www.welfare.mil.kr/shop/imgView.do?p_code=35684&type=1,식품,대상 영외 순창 조개멸치찌개된장 450g,8930.0,20,Success,https://link.gmarket.co.kr/gate/pcs?item-no=4379327865&sub-id=1003&service-code=10000003&lcd=100000036,3660,450.0,59.0
(주)오뚜기,(영외)가쓰오부시 장국,360 ml,"1,540원",https://www.welfare.mil.kr/shop/imgView.do?p_code=35674&type=1,식품,오뚜기 영외 가쓰오부시 장국 360 ml,4753.333333333334,20,Success,https://search.shopping.naver.com/catalog/56987652817,1540,360.0,67.6
(주)알티스트,설탕대신,400g,"4,490원",https://www.welfare.mil.kr/shop/imgView.do?p_code=35530&type=1,식품,알티스트 설탕대신 400g,16000.0,20,Success,https://search.shopping.naver.com/catalog/51929523809,4490,400.0,71.9
(주)동원에프앤비,양반 참기름 식탁김 16봉(8매),64g,"2,590원",https://www.welfare.mil.kr/shop/imgView.do?p_code=35646&type=1,식품,동원에프앤비 양반 참기름 식탁김 16봉 8매 64g,,0,Max Retries,,2590,64.0,
(주)글로웨이,정글망고바,60g,"1,000원",https://www.welfare.mil.kr/shop/imgView.do?p_code=35562&type=1,식품,글로웨이 정글망고바 60g,1250.0,20,Success,https://link.gmarket.co.kr/gate/pcs?item-no=4667085698&sub-id=1003&service-code=10000003&lcd=100000036,1000,60.0,20.0
(주)우양,뉴뜨레 냉동딸기 국내산,1kg,"7,100원",https://www.welfare.mil.kr/shop/imgView.do?p_code=35614&type=1,식품,우양 뉴뜨레 냉동딸기 국내산 1kg,13865.0,20,Success,https://search.shopping.naver.com/catalog/57904891007,7100,1000.0,48.8
씨제이제일제당(주),육공육잠봉슬라이스,80g,"1,490원",https://www.welfare.mil.kr/shop/imgView.do?p_code=35578&type=1,식품,씨제이제일제당 육공육잠봉슬라이스 80g,4573.333333333334,20,Success,https://link.gmarket.co.kr/gate/pcs?item-no=4201990381&sub-id=1003&service-code=10000003&lcd=100000036,1490,80.0,67.4
(주)케이지에프앤비,할리스 캡슐커피 시그니처 블렌드,50g/5gx10개입,"3,230원",https://www.welfare.mil.kr/shop/imgView.do?p_code=35442&type=1,음료,케이지에프앤비 할리스 캡슐커피 시그니처 블렌드 50g/5gx10개입,13215.0,20,Success,https://www.11st.co.kr/connect/Gateway.tmall?method=Xsite&prdNo=9057587030&tid=1000000061,3230,50.0,75.6
(주)빙그레,빙그레 초코생크림빵,90g,"2,030원",https://www.welfare.mil.kr/shop/imgView.do?p_code=35700&type=1,식품,빙그레 빙그레 초코생크림빵 90g,8740.0,1,Low Sample,https://smartstore.naver.com/main/products/10665868944,2030,90.0,76.8
대상(주),순창(현미)매운고추장(500g),500g,"5,250원",https://www.welfare.mil.kr/shop/imgView.do?p_code=35540&type=1,식품,대상 순창 현미 매운고추장 500g,10260.0,20,Success,https://link.auction.co.kr/gate/pcs?item-no=E804555178&sub-id=1&service-code=10000003,5250,500.0,48.8
씨제이제일제당(주),(영외)백설 찍어먹는 트러플솔트,50g,"1,850원",https://www.welfare.mil.kr/shop/imgView.do?p_code=35412&type=1,식품,씨제이제일제당 영외 백설 찍어먹는 트러플솔트 50g,6859.999999999999,20,Success,https://www.cjthemarket.com/the/product/product-main?prdCd=40174704&code=Na1&utm_source=naver&utm_medium=ep_feed,1850,50.0,73.0
(주)보성일억조 코리아,미가찬 만능김치,160g,"2,260원",https://www.welfare.mil.kr/shop/imgView.do?p_code=35696&type=1,식품,보성일억조 코리아 미가찬 만능김치 160g,,0,Capacity Parse Failed,,2260,160.0,
(주)드림리더,턴업샷,350ml,"18,970원",https://www.welfare.mil.kr/shop/imgView.do?p_code=35518&type=1,건강기능식품,드림리더 턴업샷 350ml,,0,Capacity Parse Failed,,18970,350.0,
(주)에프앤디넷,프로바이오틱스 슈퍼패스,265mg x 60캡슐 15.9g,"20,170원",https://www.welfare.mil.kr/shop/imgView.do?p_code=35718&type=1,건강기능식품,에프앤디넷 프로바이오틱스 슈퍼패스 265mg x 60캡슐 15.9g,,0,Capacity Parse Failed,,20170,15.9,
(주)서해글로벌,(영외)계란찜요리사 새우액젓,100g,"1,720원",https://www.welfare.mil.kr/shop/imgView.do?p_code=35620&type=1,식품,서해글로벌 영외 계란찜요리사 새우액젓 100g,3500.0,17,Success,https://smartstore.naver.com/main/products/12266055789,1720,100.0,50.9
(주)승인식품,(영외)최순희전통명장이만든 참기름,300ml,"11,130원",https://www.welfare.mil.kr/shop/imgView.do?p_code=35682&type=1,식품,승인식품 영외 최순희전통명장이만든 참기름 300ml,26000.00000000001,20,Success,https://www.11st.co.kr/connect/Gateway.tmall?method=Xsite&prdNo=6546503933&tid=1000000061,11130,300.0,57.2
(주)농협홍삼,일품홍삼 진액,40ml*30,"29,690원",https://www.welfare.mil.kr/shop/imgView.do?p_code=35570&type=1,건강기능식품,농협홍삼 일품홍삼 진액 40ml*30,45410.0,19,Success,https://www.11st.co.kr/connect/Gateway.tmall?method=Xsite&prdNo=9223874830&tid=1000000061,29690,1200.0,34.6
